geocode,regrowth_2001_2016,agr_pers,veg_pers,nreg_agr,nreg_veg,population2016,pop_g,lpw2016,lpw_g,Std_temp,precip,clay,ph,embargos_def,roads_km,silos_ton,lat,long,FNP,UF
2210631,4997.31,4043.6500,276177.5000,0.1808,0.0032,4231,0.005323077,1485.761875,0.2396,0.579193405,1051.194375,30.61,55.52,0,82.53,44806,-7.7608443,-44.11254,110,22
2211001,13263.77,3618.6200,106838.6200,0.4153,0.0235,847430,0.011115385,383.29,0.05552,0.507437599,1418.871875,27.8,52.09,0,45.909,19622,-5.0463765,-42.732365,112,22
2211100,12023.51,5657.9000,94753.9900,0.1811,0.0130,43689,0.006223077,383.24875,0.055526667,0.501387658,1510.535625,27,52.51,0,0,0,-4.5947365,-42.795362,112,22
2211209,10702.78,29534.6200,662108.2500,0.0553,0.0026,21105,0.012130769,1981.3225,0.2564,0.547983805,1020.1225,31.56,56.21,0,97.697,208787,-7.7918933,-44.569572,110,22
2901403,23227.07,35501.1600,92148.2200,0.2070,0.0914,15191,0.000569231,2760.92125,0.169893333,0.54283208,763.948125,31.54,56.87,0,4.315,0,-11.996639,-44.647724,82,29
2902500,14192.44,34293.9300,255544.8900,0.0966,0.0141,14262,0.006323077,3382.575,0.160206667,0.49495749,959.213125,30.47,53.99,1,75.462,0,-12.657125,-44.44023,82,29
2902708,108367.23,79453.4900,954544.9200,0.3349,0.0402,54563,0.015253846,2453.81375,0.148,0.476560157,652.01875,26.35,56.27,1,45.78,0,-11.224285,-43.48507,82,29
2903201,57003.99,175222.0700,444121.4600,0.0666,0.0274,155519,0.0227,7019.59875,0.16758,0.492882254,1019.2525,30.25,56.15,6,153.779,597365,-12.009956,-45.520009,82,29
2903904,88316.46,121709.3000,185135.8300,0.2589,0.1868,70090,0.0161,1057.2075,0.135053333,0.580446667,689.299375,29.25,58.63,4,45.346,0,-13.271963,-43.434827,81,29
2904407,43329.58,72450.5200,109059.2200,0.2530,0.1837,11247,0.003838462,2540.248125,0.15164,0.535736254,834.79875,30.86,56.28,0,0,0,-12.499374,-43.824764,82,29
2904753,26165.19,11336.4200,367815.9800,0.4018,0.0203,21671,0.017046154,2434.985,0.145773333,0.482049444,733.395625,28.7,55.34,0,20.899,0,-10.584385,-43.673865,82,29
2906105,7870.98,18309.6700,22313.9000,0.1602,0.1353,11136,0.006446154,2433.853125,0.144613333,0.538677006,968.230625,30.86,55.71,1,0,0,-13.096592,-44.20356,82,29
2907103,57079.22,90361.5600,108879.5700,0.2098,0.1806,30240,0.007915385,2454.975,0.14612,0.624963666,831.69625,28.25,55.71,6,36.966,0,-14.020929,-43.848505,82,29
2907400,5328.22,5989.2300,58910.3100,0.2303,0.0295,4059,0.026707692,2644.853125,0.154526667,0.527338838,840.150625,29.51,53.29,0,11.514,0,-12.273133,-44.701646,82,29
2908101,34981.36,39811.1100,906267.6600,0.1485,0.0076,19449,0.008153846,2797.608125,0.167313333,0.554447172,938.615,30.25,55.5,2,48.442,0,-14.496925,-45.219943,82,29
2909109,35818.32,49194.5300,176294.9800,0.2378,0.0801,15871,0.002730769,2578.3275,0.15158,0.557206948,851.404375,30.25,55.36,2,46.252,0,-13.814776,-44.37623,82,29
2909307,69930.25,172196.9600,738178.2400,0.0571,0.0139,33275,0.007507692,6435.0375,0.182553333,0.47128194,1075.18,30.17,55.07,3,299.453,459785,-13.467029,-45.394992,82,29
2909406,65940.44,52519.8400,314418.4700,0.2711,0.0585,14409,0.007023077,2680.5875,0.164206667,0.547964415,796.138125,27.36,56.25,1,0,0,-11.711115,-44.327996,82,29
2909703,9193.73,14170.1100,80973.5200,0.1769,0.0363,14354,0.008884615,2659.45125,0.155206667,0.51894404,751.8575,30.78,54.29,0,70.483,0,-12.193995,-44.258845,82,29
2910776,22511.79,34035.0000,56807.3900,0.1874,0.1214,6562,-0.003923077,2463.381875,0.14646,0.580021551,923.71,30.38,56.36,0,48.858,0,-14.13174,-44.232219,82,29
2911105,49254.39,184762.9200,1011756.6000,0.0275,0.0051,25652,0.021238462,7940.0025,0.17558,0.471970603,1147.9125,32.24,56.68,4,67.968,431897,-11.016713,-45.755647,82,29
2913200,25756.99,22779.1400,124898.1700,0.3699,0.0967,27762,0.009853846,1059.4875,0.13498,0.479247674,610.35875,28.03,59.17,0,2.925,0,-11.991092,-43.284914,81,29
2917334,15776.98,103274.2300,25914.1600,0.0726,0.2377,12093,0.005138462,1050.00875,0.13542,0.637734271,715.8725,31.62,59.49,1,19.074,0,-14.466472,-43.543207,81,29
2917359,41009.52,56622.1600,717607.0200,0.0858,0.0073,10067,-0.005992308,5203.055625,0.19824,0.503004307,1036.95125,31.63,56.25,3,0,56071,-14.033045,-45.442113,82,29
2919405,12919.74,18919.7600,50972.3100,0.1631,0.0675,13205,0.002307692,1049.83625,0.13544,0.562126913,594.52875,37.44,56,1,0,0,-14.588468,-42.582424,81,29
2919553,27317.48,160152.9400,163498.9800,0.0201,0.0197,81730,0.091030769,7612.964375,0.16208,0.468436673,1238.65375,30.63,56.83,2,123.177,1193609,-12.193658,-45.989709,82,29
2920205,43015.22,89175.3100,60000.3700,0.1597,0.2202,17491,0.008753846,1057.685,0.134926667,0.633808265,737.870625,30.63,57.58,0,20.669,0,-14.216447,-43.645643,81,29
2920452,42034.85,13501.1700,262034.6000,0.4199,0.0360,13864,0.013938462,2486.29,0.150686667,0.536003731,776.903125,25.85,55.8,1,0,0,-11.128067,-44.108375,82,29
2921609,26594.64,27868.2000,151334.8100,0.3226,0.0806,9470,0.007807692,1054.695625,0.135133333,0.479762094,625.749375,28.76,57.49,1,0,0,-11.523766,-43.27095,81,29
2922250,63287.11,92081.9500,223191.7000,0.2612,0.1273,11571,0.016384615,2689.14375,0.16006,0.508874166,653.774375,31.14,57.72,1,81.498,0,-12.211864,-43.498618,82,29
2923407,23025.71,149416.7800,70153.8300,0.0703,0.1386,22487,0.007615385,1049.83625,0.13544,0.627058942,655.963125,29.61,56.49,0,8.647,0,-14.180615,-43.369845,81,29
2923704,36862,57774.6600,160493.1900,0.2615,0.1131,32807,0.013169231,1050.068125,0.13542,0.504780068,651.21625,27.52,59.03,1,0,0,-12.553034,-43.199817,81,29
2924405,106510.94,120877.0400,927182.0200,0.2700,0.0460,35590,0.008853846,638.915,0.102033333,0.50144458,632.78625,27,55.21,0,0,0,-10.095625,-43.497612,86,29
2924504,7002.5,39424.2800,16288.8600,0.0981,0.2084,16849,0.005061538,1049.83625,0.13544,0.562126913,594.52875,31.6,55.39,0,0,0,-14.54053,-42.626925,81,29
2926202,58257.31,95277.8800,370840.1700,0.1649,0.0483,23431,0.006223077,5734.09875,0.185013333,0.508092839,968.34,31.95,56.45,3,89.357,317586,-11.623038,-45.217792,82,29
